order_item_id,order_id,order_date,order_item_status,product_title,quantity
OI:12497169504040600,OD124971695040406000,18-05-2024,DELIVERED,"""""""Yogarise 6mm Yoga Mat with Shoulder Strap & Bag Yoga mats for Home Gym & Outdoor 6 mm Yoga Mat""""""",1
OI:22496986246365800,OD224969862463658000,18-05-2024,CANCELLED,"""""""Yogarise 6mm Yoga Mat with Shoulder Strap & Bag Yoga mats for Home Gym & Outdoor 6 mm Yoga Mat""""""",1
OI:22497513109875400,OD224975131098754000,18-05-2024,RETURNED,"""""""Yogarise Yoga Mat for Gym Workout for Men and Women with Bag & Strap Made in India 6 mm Yoga Mat""""""",1
OI:12497468192011400,OD124974681920114000,18-05-2024,RETURNED,"""""""Yogarise 6mm Yoga Mat with Shoulder Strap & Bag Yoga mats for Home Gym & Outdoor 6 mm Yoga Mat""""""",1
OI:12497068334201700,OD124970683342017000,18-05-2024,DELIVERED,"""""""Yogarise Yoga Mat for Gym Workout and Flooring Exercise for Men & Women with Bag and Strap Purple 6 mm Yoga Mat""""""",1
OI:22497445952638700,OD224974459526387000,18-05-2024,DELIVERED,"""""""Xtrim WING BELT Back & Abdomen Support Blue""""""",1
OI:12496889846666100,OD124968898466661000,18-05-2024,DELIVERED,"""""""VIFITKIT 4mm Anti-Skid Yoga Mat with Carry Bag for Home Gym & Outdoor Workout 4 mm Yoga Mat""""""",1
OI:22497068244358400,OD224970682443584000,18-05-2024,RETURNED,"""""""VIFITKIT Yoga Mat with Free Bag Anti Skid Yoga mat for Gym Workout and Flooring Exercise 10 mm Yoga Mat""""""",1
OI:22497190180013300,OD224971901800133000,18-05-2024,DELIVERED,"""""""Yogarise 6mm Yoga Mat with Shoulder Strap & Bag Yoga mats for Home Gym & Outdoor Workout 6 mm Yoga Mat""""""",1
OI:12496834360623800,OD124968343606238000,18-05-2024,DELIVERED,"""""""Yogarise Yoga Mat for Gym Workout and Flooring Exercise for Men & Women with Bag and Strap Purple 6 mm Yoga Mat""""""",1
OI:22497367578491700,OD224973675784917000,18-05-2024,RETURNED,"""""""Yogarise Yoga Mat for Gym Workout and Flooring Exercise for Men & Women with Bag and Strap Purple 6 mm Yoga Mat""""""",1
OI:22497179327800500,OD224971793278005000,18-05-2024,DELIVERED,"""""""Yogarise Yoga Mat for Gym Workout for Men and Women with Bag & Strap Made in India 6 mm Yoga Mat""""""",1
OI:12496707617727000,OD124967076177270000,18-05-2024,DELIVERED,"""""""Xtrim MACHO Gym & Fitness Gloves Blue Line""""""",1
OI:22497497265983900,OD224974972659839000,18-05-2024,DELIVERED,"""""""Yogarise Yoga Mat for Gym Workout for Men and Women with Bag & Strap Made in India 6 mm Yoga Mat""""""",1
OI:22496686779316907,OD224966867793169000,18-05-2024,DELIVERED,"""""""VIFITKIT Yoga Mat with Carrying Bag & Home Gym with Skipping Rope Royal Blue 6 mm Yoga Mat""""""",1
OI:12497143567172901,OD124971435671729000,18-05-2024,DELIVERED,"""""""Yogarise 6mm Yoga Mat with Shoulder Strap & Bag Yoga mats for Home Gym & Outdoor 6 mm Yoga Mat""""""",1
OI:12496949530552901,OD124969495305529000,18-05-2024,DELIVERED,"""""""Xtrim KNEE WRAPS GREY Knee  Calf & Thigh Support Grey""""""",1
OI:12497287800551900,OD124972878005519000,18-05-2024,DELIVERED,"""""""Yogarise Yoga Mat for Gym Workout for Men and Women with Bag & Strap Made in India 6 mm Yoga Mat""""""",1
OI:22497158366375400,OD224971583663754000,18-05-2024,DELIVERED,"""""""Yogarise Yoga Mat for Gym Workout and Flooring Exercise for Men & Women with Bag and Strap Purple 6 mm Yoga Mat""""""",1
